I, [2018-04-08T21:11:36.927656 #8203]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2018-04-08T21:11:36.928032 #8203] ERROR -- Kitchen: ------Exception-------
E, [2018-04-08T21:11:36.928070 #8203] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-04-08T21:11:36.928090 #8203] ERROR -- Kitchen: Message: Kitchen YAML file /Users/erinpolsfoot/Chef/gem-server/recipes/.kitchen.yml does not exist.
E, [2018-04-08T21:11:36.928126 #8203] ERROR -- Kitchen: ----------------------
E, [2018-04-08T21:11:36.928151 #8203] ERROR -- Kitchen: ------Backtrace-------
E, [2018-04-08T21:11:36.928166 #8203] ERROR -- Kitchen: /Users/erinpolsfoot/.rvm/gems/ruby-2.3.1/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2018-04-08T21:11:36.928181 #8203] ERROR -- Kitchen: /Users/erinpolsfoot/.rvm/gems/ruby-2.3.1/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2018-04-08T21:11:36.928216 #8203] ERROR -- Kitchen: /Users/erinpolsfoot/.rvm/gems/ruby-2.3.1/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-04-08T21:11:36.928232 #8203] ERROR -- Kitchen: /Users/erinpolsfoot/.rvm/gems/ruby-2.3.1/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-04-08T21:11:36.928247 #8203] ERROR -- Kitchen: /Users/erinpolsfoot/.rvm/gems/ruby-2.3.1/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-04-08T21:11:36.928262 #8203] ERROR -- Kitchen: /Users/erinpolsfoot/.rvm/gems/ruby-2.3.1/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-04-08T21:11:36.928277 #8203] ERROR -- Kitchen: /Users/erinpolsfoot/.rvm/gems/ruby-2.3.1/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-04-08T21:11:36.928295 #8203] ERROR -- Kitchen: /Users/erinpolsfoot/.rvm/gems/ruby-2.3.1/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
